"filename", "language", "HTML", "JavaScript", "comment", "blank", "total"
"d:\vsworkspace\vue\02-插值表达式.html", "HTML", 41, 0, 3, 10, 54
"d:\vsworkspace\vue\03-v-html和v-text.html", "HTML", 31, 0, 6, 13, 50
"d:\vsworkspace\vue\04-v-show和v-if.html", "HTML", 36, 0, 15, 14, 65
"d:\vsworkspace\vue\05-v-if和v-else.html", "HTML", 10, 0, 0, 1, 11
"d:\vsworkspace\vue\06v-fo.html", "HTML", 10, 0, 0, 1, 11
"d:\vsworkspace\vue\06v-for指令.html", "HTML", 53, 0, 14, 20, 87
"d:\vsworkspace\vue\07-v-on指令.html", "HTML", 52, 0, 5, 12, 69
"d:\vsworkspace\vue\08-事件修饰符.html", "HTML", 62, 0, 23, 19, 104
"d:\vsworkspace\vue\09-按键修饰.html", "HTML", 39, 0, 2, 8, 49
"d:\vsworkspace\vue\vue\vue.js", "JavaScript", 0, 17572, 297, 124, 17993
"Total", "-", 334, 17572, 365, 222, 18493
